Coin,Price,1h,24h,7d,24h Volume,Market Cap
"Fasttoken
FTN",3.91,0.0,0.0,2.3,52992168.0,1674143937
"XDC Network
XDC",0.1063,0.2,5.2,19.9,51298585.0,1667226745
"KuCoin
KCS",13.36,0.1,2.1,21.9,94065.06,1641236283
"Pudgy Penguins
PENGU",0.02581,1.5,14.7,9.3,277637454.0,1620959417
"Movement
MOVE",0.6992,1.3,1.7,8.9,107339341.0,1609166357
"Sei
SEI",0.353,0.3,1.7,6.5,75907788.0,1566191924
"Mantle Staked Ether
METH",3490.56,0.1,1.0,1.3,15885559.0,1547638502
"Quant
QNT",105.89,1.0,4.1,5.2,36377082.0,1540831050
"sUSDS
SUSDS",1.03,0.0,0.1,0.6,1832867.0,1524118310
"Flare
FLR",0.0259,0.7,2.1,8.0,9308050.0,1482712954
"Onyxcoin
XCN",0.04572,2.4,70.9,347.1,1275045204.0,1455684239
"NEXO
NEXO",1.44,0.0,0.2,3.4,9778686.0,1436235003
"Solv Protocol SolvBTC
SOLVBTC",104412.0,0.3,0.0,0.2,9715408.0,1407607969
"GALA
GALA",0.0325,0.7,0.6,11.7,70239019.0,1385056673
"Marinade Staked SOL
MSOL",320.01,0.7,0.3,5.3,29644040.0,1369044679
"The Sandbox
SAND",0.5537,0.8,1.0,9.0,56792841.0,1358989022
"JasmyCoin
JASMY",0.02801,1.4,2.0,6.3,82376600.0,1358200557
"FLOKI
FLOKI",0.000137,0.5,1.3,12.9,136756565.0,1325388708
"dogwifhat
WIF",1.28,1.0,2.9,21.2,167055884.0,1279175650
"Fartcoin
FARTCOIN",1.28,5.3,1.2,38.1,194292729.0,1277482659
"Usual USD
USD0",0.9981,0.1,0.1,0.2,18557693.0,1232871900
"EOS
EOS",0.7954,1.1,1.6,9.3,111553925.0,1206572289
"Kaia
KAIA",0.2051,0.3,1.6,8.6,10420076.0,1200952120
"Tezos
XTZ",1.16,0.8,1.1,11.2,29016587.0,1189542490
"IOTA
IOTA",0.3266,1.2,0.1,8.3,22390929.0,1179796926
"Pyth Network
PYTH",0.3205,0.8,0.4,7.4,47245336.0,1162028162
"DeXe
DEXE",20.04,0.7,3.5,13.0,25783531.0,1144359698
"Ethereum Name Service
ENS",33.86,0.6,2.2,6.3,51706543.0,1123470838
"SPX6900
SPX",1.21,0.9,0.2,15.1,30250501.0,1123188333
"Maker
MKR",1230.59,0.4,1.4,9.0,141249646.0,1095562464
"Solv Protocol SolvBTC.BBN
SOLVBTC.BBN",103761.0,0.4,0.2,0.2,6022333.0,1079884684
"Flow
FLOW",0.682,0.6,0.7,8.2,20672672.0,1063811635
"BitTorrent
BTT",0.051072,0.3,0.4,3.2,25851020.0,1038066432
"Bitcoin SV
BSV",51.83,0.5,1.3,5.6,20486711.0,1027071960
"Curve DAO
CRV",0.8041,1.0,2.7,13.8,127238791.0,1024774702
"AIOZ Network
AIOZ",0.8681,9.8,9.0,5.1,51579857.0,996111631
"NEO
NEO",14.1,0.9,0.3,8.6,18810498.0,994056307
"Jupiter Staked SOL
JUPSOL",274.78,0.7,0.0,5.1,16142838.0,979947753
"Arweave
AR",14.63,0.9,0.1,11.8,23645659.0,957811054
"Renzo Restaked ETH
EZETH",3420.26,0.0,0.9,1.4,3568818.0,926010739
"Beam
BEAM",0.01756,0.4,5.3,23.1,50877430.0,923148821
"Starknet
STRK",0.3767,0.4,1.3,9.9,48886178.0,911086893
"Axie Infinity
AXS",5.75,0.6,0.1,8.4,29820190.0,907947231
"THORChain
RUNE",2.57,0.7,2.7,28.8,536713089.0,904042325
"Binance-Peg Dogecoin
DOGE",0.3502,0.2,2.0,9.0,1289382.0,901135341
"ai16z
AI16Z",0.8154,1.2,2.2,22.2,123472232.0,897243282
"Jito
JTO",3.08,1.6,8.1,0.5,68380596.0,882291228
"Decentraland
MANA",0.4707,0.8,1.1,7.3,52267124.0,879231744
"Arbitrum Bridged WBTC (Arbitrum One)
WBTC",104533.0,0.2,0.2,0.9,61250034.0,857467705
"ether.fi Staked ETH
EETH",3300.02,0.2,0.1,1.3,120655.0,849703623
"MultiversX
EGLD",30.48,0.7,0.0,12.1,16650967.0,849378441
"Wrapped BNB
WBNB",683.67,0.2,0.6,1.5,68026495.0,839647748
"dYdX
DYDX",1.16,0.5,1.0,9.9,23635982.0,837880248
"Brett
BRETT",0.08415,1.1,4.9,20.4,31708678.0,833773032
"Polygon
MATIC",0.4351,0.4,0.5,9.5,4673713.0,816247780
"Toshi
TOSHI",0.001852,15.1,81.0,295.1,1306765708.0,803540324
"Core
CORE",0.8405,0.9,0.2,7.8,26132129.0,786194151
"Aerodrome Finance
AERO",0.9937,0.5,2.1,17.9,34112851.0,749771951
"USDD
USDD",0.9986,0.1,0.1,0.1,8891862.0,747619953
"Mantle Restaked ETH
CMETH",3491.44,0.1,1.0,1.6,5027026.0,742687634
"Zcash
ZEC",46.14,0.6,0.8,9.0,101608085.0,731674668
"L2 Standard Bridged WETH (Base)
WETH",3308.76,0.1,1.0,1.5,619576995.0,730436452
"Conflux
CFX",0.1493,1.0,0.8,7.6,33118980.0,720969579
"ApeCoin
APE",0.9981,0.4,0.7,8.8,66211389.0,720084260
"Arbitrum Bridged WETH (Arbitrum One)
WETH",3309.86,0.0,0.9,1.0,65596097.0,706761298
"Chiliz
CHZ",0.07502,0.9,1.3,8.4,35134214.0,702677397
"Reserve Rights
RSR",0.01278,0.1,1.5,14.1,38547444.0,701557609
"Ether.fi Staked BTC
EBTC",104817.0,0.2,0.6,1.1,1801998.0,689770045
"Helium
HNT",3.88,0.0,1.7,27.9,10532230.0,687390852
"Akash Network
AKT",2.77,0.2,0.2,7.6,5671287.0,685312280
"Tether Gold
XAUT",2759.07,0.0,0.3,2.6,4520420.0,680154929
"Morpho
MORPHO",3.09,1.1,3.8,13.8,51473171.0,670506658
"Compound
COMP",74.86,0.7,0.3,12.3,42251495.0,664013391
"eCash
XEC",3.34e-05,0.3,1.1,5.0,29112227.0,663001096
"Wormhole
W",0.23,0.5,0.4,7.8,32702213.0,651430080
"Amp
AMP",0.007701,0.7,1.8,2.6,58959895.0,648698202
"Frax
FRAX",0.997,0.1,0.0,0.3,3890235.0,647491145
"Eigenlayer
EIGEN",2.75,0.5,2.6,10.3,73276599.0,645703196
"Pendle
PENDLE",3.84,0.7,1.9,5.8,70105596.0,632214456
"MEOW
MEOW",0.006979,0.2,7.8,0.8,1000977.0,628130542
"usdx.money USDX
USDX",0.9991,0.0,0.1,0.2,311659.0,623720823
"Ronin
RON",1.61,0.4,1.2,8.2,17117390.0,613559080
"pumpBTC
PUMPBTC",101582.0,0.2,0.9,2.2,11779.89,609239151
"Ultima
ULTIMA",14018.08,0.0,0.1,47.1,4283504.0,605234165
"Mina Protocol
MINA",0.4992,0.1,1.5,10.3,20271192.0,604369160
"PancakeSwap
CAKE",2.06,0.4,2.5,10.4,38826232.0,598388162
"Gigachad
GIGA",0.06187,2.3,0.4,16.0,21627053.0,594490318
"Gnosis
GNO",228.14,0.3,0.3,6.8,8205543.0,590783156
"DeepBook
DEEP",0.2343,1.1,10.6,15.3,34906648.0,585934377
"Resolv USR
USR",1.0,0.2,0.1,0.2,21840762.0,584636667
"Axelar
AXL",0.635,0.7,0.2,0.5,10502123.0,574058522
"ZKsync
ZK",0.1541,0.5,0.4,12.0,41970072.0,566370934
"Newton Project
NEW",0.0134,1.9,57.7,1049.9,16612636.0,566180680
"PAX Gold
PAXG",2770.72,0.1,0.1,3.4,10322512.0,562641699
"Synthetix Network
SNX",1.61,0.3,0.6,9.1,33171126.0,545720002
"Beldex
BDX",0.07866,0.6,0.3,0.4,4965689.0,544103633
"Avalanche Bridged BTC (Avalanche)
BTC.B",104965.0,0.0,0.3,0.0,26033694.0,540108361
"Echelon Prime
PRIME",10.18,1.0,2.3,24.8,8005825.0,537373596
"Coinbase Wrapped Staked ETH
CBETH",3596.39,0.1,0.9,2.0,8130713.0,533577163
"Telcoin
TEL",0.006798,1.4,0.3,3.4,2409967.0,528908061
"Mog Coin
MOG",0.051344,0.5,8.8,26.4,26533338.0,521598166
"INSURANCE
INSURANCE",27.85,0.0,1.3,9.5,50421.17,520763124
"dYdX
ETHDYDX",1.16,0.6,0.8,9.7,44628083.0,520326813
"Notcoin
NOT",0.005057,0.6,1.6,10.0,27055635.0,518083102
"StakeStone Berachain Vault Token
BERASTONE",3309.47,0.1,0.8,1.6,6505576.0,516928372
"aixbt by Virtuals
AIXBT",0.6033,0.7,6.5,16.4,138102095.0,516303671
"Snek
SNEK",0.00692,0.8,0.7,13.3,2645745.0,514489656
"CHEX Token
CHEX",0.5064,0.7,0.3,1.7,1820442.0,505990683
"Grass
GRASS",2.06,0.8,0.9,17.1,28665461.0,502281359
"APENFT
NFT",0.06505,0.2,1.2,2.9,26621245.0,499997023
"Kava
KAVA",0.458,0.9,0.9,4.5,14734550.0,496000791
"TrueUSD
TUSD",0.9982,0.1,0.1,0.3,23825602.0,494584943
"PayPal USD
PYUSD",0.9999,0.1,0.1,0.0,13002370.0,486581670
"Frax Ether
FRXETH",3300.95,0.0,0.8,1.4,1814253.0,473102574
"Polygon PoS Bridged WETH (Polygon POS)
WETH",3315.62,0.0,0.7,1.7,16954920.0,472385996
"tBTC
TBTC",104990.0,0.3,0.1,0.5,7728461.0,465854157
"VeThor
VTHO",0.005405,0.3,1.2,114.1,137955928.0,461405536
"SuperVerse
SUPER",1.01,0.7,1.1,14.0,19651438.0,455355456
"Trust Wallet
TWT",1.08,0.4,4.0,8.0,15054737.0,451810391
"Safe
SAFE",0.855,1.3,4.3,4.9,29657764.0,451654725
"Terra Luna Classic
LUNC",8.189e-05,0.5,0.2,11.7,14247846.0,450790960
"Livepeer
LPT",11.96,0.9,0.4,11.2,27115538.0,449963598
"1inch
1INCH",0.3214,0.5,2.9,11.3,24801042.0,449372911
"Kusama
KSM",27.68,0.9,1.0,7.7,9451566.0,443660328
"Stader ETHx
ETHX",3473.24,0.4,0.9,1.6,253775.0,442514005
"Arkham
ARKM",1.26,0.7,1.8,7.9,47228270.0,441749408
"Oasis
ROSE",0.0656,0.9,2.3,12.9,25449900.0,441466693
"Theta Fuel
TFUEL",0.0639,0.8,1.0,2.5,4167083.0,435758173
"Blur
BLUR",0.2008,0.6,2.4,6.8,19430898.0,434803451
"cat in a dogs world
MEW",0.004891,1.0,1.1,18.4,17548038.0,434082696
"Swell Ethereum
SWETH",3572.56,0.0,0.8,1.6,1051369.0,433433760
"QuantixAI
QAI",88.47,0.1,0.1,0.0,1796308.0,429062183
"ORDI
ORDI",20.3,0.6,2.1,11.7,47946825.0,426735227
"LayerZero
ZRO",3.83,0.9,2.7,15.3,34887812.0,426161471
"Creditcoin
CTC",1.02,0.4,0.4,5.5,6393829.0,424584598
"Nervos Network
CKB",0.009324,0.7,0.2,8.7,16148401.0,424396395
"Dash
DASH",34.93,0.4,1.6,9.9,31434384.0,423416449
"Bridged USDC (Polygon PoS Bridge)
USDC.E",0.9999,0.0,0.0,0.1,13580648.0,421832388
"io.net
IO",3.12,0.6,1.1,4.0,94967203.0,421701561
"Popcat
POPCAT",0.4309,0.5,5.4,18.6,40783206.0,420690789
"Vine
VINE",0.4253,4.4,25.7,,1035598300.0,418703548
"Super OETH
SUPEROETHB",3310.46,0.1,0.9,2.2,373247.0,416912972
"Solayer Staked SOL
SSOL",268.16,0.5,0.3,0.3,3755428.0,413538777
"USDB
USDB",0.9998,0.1,0.1,1.1,411186.0,405604398
"Hashnote USYC
USYC",1.07,0.0,0.1,0.0,39748.98,403426144
"Turbo
TURBO",0.005825,1.1,1.6,20.2,47606829.0,402502268
"Astar
ASTR",0.05336,0.6,0.1,7.8,8156456.0,400346894
"Bio Protocol
BIO",0.2465,0.7,1.2,16.6,43590471.0,400273660
"Holo
HOT",0.002211,1.0,0.8,9.4,11119459.0,392896403
"GRIFFAIN
GRIFFAIN",0.3869,5.1,10.5,26.8,56579736.0,386673668
"Zilliqa
ZIL",0.01977,0.8,0.9,8.3,15121579.0,384450584
"Dog (Bitcoin)
DOG",0.003844,0.9,4.6,16.7,10506116.0,384219934
"AgentFun.AI
AGENTFUN",3.83,1.0,0.2,3.3,48817.96,382596668
"Melania Meme
MELANIA",2.55,2.4,4.8,,200995198.0,382298960
"0x Protocol
ZRX",0.45,0.8,2.8,8.9,47732562.0,381764158
"Ether.fi
ETHFI",1.73,0.6,0.6,11.9,44120725.0,378688510
"Ondo US Dollar Yield
USDY",1.07,0.1,0.0,1.3,1087362.0,378582425
"JUST
JST",0.0382,0.2,1.2,1.0,39058170.0,378200519
"OriginTrail
TRAC",0.7434,0.2,0.4,7.1,3153242.0,371621616
"Verus
VRSC",4.73,0.1,1.5,1.3,7035.8,370801948
"MX
MX",3.9,0.5,0.0,5.5,42226431.0,369902169
"Baby Doge Coin
BABYDOGE",0.082227,1.3,0.2,10.0,17737253.0,368480313
"Olympus
OHM",22.49,0.0,1.0,0.3,428359.0,368352152
"Binance-Peg BUSD
BUSD",0.9988,0.2,0.1,0.2,3289199.0,367558134
"Liquid Staked ETH
LSETH",3530.0,0.0,1.0,1.8,17007.98,365295620
"cWBTC
CWBTC",2106.37,0.1,0.0,0.2,0.0,364818348
"Freysa AI
FAI",0.04451,0.5,1.5,22.4,2852458.0,364509374
"Polygon Bridged WBTC (Polygon POS)
WBTC",104836.0,0.0,0.0,0.2,3851520.0,351046724
"Basic Attention
BAT",0.2347,1.2,3.4,5.0,53364450.0,350970160
"Aethir
ATH",0.0566,0.6,0.3,7.9,18321732.0,349075640
"Staked Frax Ether
SFRXETH",3668.18,0.0,0.7,1.2,14148.91,345783323
"Golem
GLM",0.3436,0.8,0.9,6.8,13276257.0,343613598
"MimbleWimbleCoin
MWC",31.27,0.1,3.8,19.4,16497.65,343155766
"SwissBorg
BORG",0.3452,0.2,2.1,0.6,1526582.0,339427169
"SafePal
SFP",0.6943,0.6,2.3,2.4,8341123.0,338508789
"BENQI Liquid Staked AVAX
SAVAX",44.49,0.5,2.1,2.3,2817431.0,333119715
"Akuma Inu
AKUMA",0.0004911,0.2,6.2,6.8,8103392.0,327624781
"WOO
WOO",0.1738,0.6,0.1,12.5,13321359.0,323771165
"Celo
CELO",0.5754,0.6,0.9,8.2,27169086.0,321976069
"IoTeX
IOTX",0.03412,0.3,2.3,7.9,9813137.0,321568151
"WEMIX
WEMIX",0.7707,1.9,1.4,4.3,2095153.0,321220734
"Animecoin
ANIME",0.05692,1.2,0.9,,172452513.0,314974784
"Gas
GAS",4.83,0.7,1.9,3.2,5244467.0,314129687
"Peanut the Squirrel
PNUT",0.3131,1.1,1.5,30.5,99893668.0,313164906
"Horizen
ZEN",19.76,1.0,1.8,19.6,15254971.0,312816683
"Qtum
QTUM",2.96,0.8,0.1,8.2,10991350.0,312032925
"AI Rig Complex
ARC",0.3114,3.5,12.3,40.2,68834579.0,311289273
"UXLINK
UXLINK",0.9005,0.2,5.3,5.5,163292852.0,304947175
"Vana
VANA",9.9,0.8,0.7,4.8,10152561.0,304779974
"Ankr Network
ANKR",0.03036,0.9,0.5,10.5,15646245.0,303668167
"ZetaChain
ZETA",0.4747,0.7,1.8,13.3,12906802.0,301229527
"Bridged Ether (StarkGate)
ETH",3313.82,0.0,0.8,1.5,1770051.0,300428311
"Memecoin
MEME",0.008148,0.9,0.7,15.0,35899845.0,300284539
"Bybit Staked SOL
BBSOL",269.16,0.4,0.2,5.4,3065165.0,299833187
"Siacoin
SC",0.005402,0.8,0.4,3.8,21895771.0,299556462
"Enjin Coin
ENJ",0.1649,0.4,0.3,13.1,19874768.0,296336125
"Osmosis
OSMO",0.418,0.2,0.2,5.6,6137019.0,295559446
"would
WOULD",0.2956,0.9,3.6,5.5,888396.0,295458922
"Moca Network
MOCA",0.181,1.2,0.3,6.9,21871156.0,294917230
"Convex Finance
CVX",3.53,0.8,0.3,16.1,15527154.0,289366673
"Constellation
DAG",0.08089,0.2,1.7,27.9,1586962.0,288923617
"SATS (Ordinals)
SATS",0.061369,0.4,3.3,14.5,19446645.0,287858365
"Polymesh
POLYX",0.2546,0.4,2.4,4.9,9770614.0,287136526
"EthereumPoW
ETHW",2.62,0.9,0.7,12.7,3739469.0,284094930
"Ravencoin
RVN",0.01904,0.4,2.0,8.0,5799023.0,280886622
"aelf
ELF",0.3795,0.2,0.2,6.3,10692196.0,280263962
"GMT
GMT",0.1055,0.8,2.2,12.4,67065368.0,278138135
"SKALE
SKL",0.05291,3.1,17.6,15.8,205280425.0,273892672
"Drift Protocol
DRIFT",0.9905,1.2,0.5,14.7,25613935.0,272427671
"BOOK OF MEME
BOME",0.003883,1.0,0.5,25.6,57262133.0,267963580
"Plume
PLUME",0.1337,5.7,2.8,,133622271.0,267692153
"Mantle Bridged USDT (Mantle)
USDT",1.0,0.0,0.2,0.8,3242997.0,266640799
"Kadena
KDA",0.8754,1.0,4.7,5.9,12335178.0,265359935
"Metars Genesis
MRS",3.15,0.1,0.0,0.3,60654.25,265331753
"Chia
XCH",19.07,0.1,0.3,10.7,8928602.0,265055574
"Threshold Network
T",0.02628,1.0,1.1,5.9,13883974.0,264802342
"Clearpool
CPOOL",0.3622,4.5,10.1,1.8,5600622.0,264426540
"Qubic
QUBIC",0.052338,1.5,2.5,6.6,4450475.0,264210346
"Elixir deUSD
DEUSD",0.9993,0.0,0.1,0.2,6026479.0,263013425
"Magic Eden
ME",2.01,1.3,1.0,13.6,15101967.0,261684119
"Harmony
ONE",0.02113,0.8,1.1,14.4,8758669.0,260008228
"Sushi
SUSHI",1.34,0.8,0.2,10.3,38232463.0,258617588
"Aevo
AEVO",0.2861,0.6,0.6,9.8,62883840.0,258435339
"Tribe
TRIBE",0.5607,1.4,23.9,1.8,77590.54,255091931
"yearn.finance
YFI",7439.71,0.5,2.0,8.2,17071838.0,250326638
"Wrapped AVAX
WAVAX",37.44,0.5,1.6,2.7,77387783.0,249376035
"Wrapped Beacon ETH
WBETH",3507.33,0.0,0.8,1.8,3255537.0,248802754
"Manta Network
MANTA",0.6586,0.1,0.8,10.6,47329172.0,248779578
"Dymension
DYM",1.1,0.4,0.8,9.1,19640194.0,247327932
"XYO Network
XYO",0.01766,7.5,22.6,1.4,14578421.0,246552242
"L2 Standard Bridged WETH (Blast)
WETH",3312.71,0.1,0.8,1.5,1456236.0,246460275
"CoinEx
CET",0.09005,0.4,0.2,3.9,122867.0,246160750
"Frax Share
FXS",2.77,0.2,1.5,12.8,15335557.0,242467684
"USDa
USDA",1.0,0.0,0.0,0.5,1369433.0,239969609
"PAAL AI
PAAL",0.2733,0.4,5.8,33.5,4293791.0,239539456
"Mask Network
MASK",2.39,0.5,0.2,12.9,24334965.0,238669908
"Goatseus Maximus
GOAT",0.2376,1.2,4.3,19.2,43260900.0,237772319
"Illuvium
ILV",32.54,0.0,0.2,12.0,9076272.0,237681372
"Terra
LUNA",0.3452,0.6,0.7,9.7,19784544.0,237445086
"peaq
PEAQ",0.3585,1.3,3.5,15.2,36141910.0,237232630
"Wrapped Ether (Mantle Bridge)
WETH",3311.84,0.0,1.0,1.4,12819510.0,237025806
"Neiro
NEIRO",0.0005596,1.1,0.1,15.0,50484214.0,235521532
"Bazaars
BZR",20.52,0.2,1.1,1.7,718527.0,235333892
"Biconomy
BICO",0.2532,0.6,1.0,8.5,20082566.0,233906194
"Quorium
QGOLD",2769.66,0.1,0.1,2.8,155635.0,232651732
"Treehouse ETH
TETH",3928.75,0.2,0.5,1.0,2461107.0,232537773
"LCX
LCX",0.2451,0.8,7.2,5.3,4512854.0,230341911
"Nexus Mutual
NXM",71.32,0.4,0.1,3.4,0.0,224719627
"aBTC
ABTC",103683.0,0.2,0.3,1.3,138897.0,224562259
"GMX
GMX",22.59,0.0,1.0,6.6,11231176.0,224509634
"Metis
METIS",35.78,0.6,1.3,8.2,11171358.0,221810473
"NEM
XEM",0.02464,0.2,2.3,1.6,20633431.0,221739328
"Resolv wstUSR
WSTUSR",0.8649,,,,535.56,242068129
"CorgiAI
CORGIAI",0.0006337,0.1,1.0,2.1,232027.0,217817420
"Avail
AVAIL",0.1117,0.8,2.9,0.6,2395958.0,217816355
"Galxe
GAL",1.68,0.1,1.3,4.0,76782.51,215377143
"Loopring
LRC",0.1718,0.5,3.3,9.4,17603946.0,214185626
"Zeus Network
ZEUS",0.5584,0.8,7.7,18.6,8501168.0,213731160
"BTSE Token
BTSE",1.32,0.5,5.8,11.5,2073188.0,213655089
"Metaplex
MPLX",0.2817,0.5,0.6,14.8,2015783.0,213477061
"Decred
DCR",12.83,0.4,2.5,7.7,1795499.0,212750783
"Solana Name Service
FIDA",0.2146,1.1,1.0,16.9,19562289.0,212656170
"Sun Token
SUN",0.02169,0.6,1.1,2.0,37581259.0,212540247
"Lorenzo stBTC
STBTC",103220.0,0.3,0.7,0.5,195044.0,211594482
"Humans.ai
HEART",0.03199,0.6,3.1,21.7,356994.0,208158262
"Ontology
ONT",0.2258,0.6,2.5,5.5,24093660.0,205975794
"Amnis Aptos
AMAPT",8.16,0.2,0.1,12.3,298242.0,205609000
"World Mobile Token
WMTX",0.3008,0.4,4.5,16.5,13181249.0,205124895
"GoMining Token
GOMINING",0.4947,0.5,0.8,4.4,12649161.0,204094728
"Gravity
G",0.02817,0.1,0.0,0.9,11785452.0,203770205
"Unicorn Fart Dust
UFD",0.2056,2.7,8.6,48.0,25541644.0,203270408
"STP
STPT",0.1045,0.1,19.4,48.1,261266109.0,202875746
